set comp := HSBA	RDSA	RIO	BP	GSK	DGE	AZN	VOD	CLEN	ULVR;
set date := r1	r2	r3	r4	r5	r6	r7	r8	r9	r10	r11	r12	r13	r14	r15	r16	r17	r18	r19	r20	r21	r22	r23	r24	r25	r26	r27	r28	r29	r30	r31	r32	r33	r34	r35	r36	r37	r38	r39	r40	r41	r42	r43	r44	r45	r46	r47	r48	r49	r50	r51	r52	r53	r54	r55	r56	r57	r58	r59	r60	r61	r62	r63	r64	r65	r66	r67	r68	r69	r70	r71	r72	r73	r74	r75	r76	r77	r78	r79	r80	r81	r82	r83	r84	r85	r86	r87	r88	r89	r90	r91	r92	r93	r94	r95	r96	r97	r98	r99	r100	r101	r102	r103	r104;

param matrix: HSBA	RDSA	RIO	BP	GSK	DGE	AZN	VOD	CLEN	ULVR :=
r42	0.013561298	-0.014394866	0.034057954	-0.023176491	-0.017135496	0.042751029	-0.018409193	-0.061635511	0.028270792	-0.037935062
r43	0.000590094	-0.025641112	0.009509903	-0.037934375	-0.024597941	-0.020705341	-0.063028776	-0.040288716	0.005209896	-0.006503025
r44	0.013452831	0.006174358	0.10420026	0.006802746	0.001263018	0.02519239	0.012855621	0.015850405	0.097937344	0.027018675
r45	0.018419817	0.011148212	-0.020104442	0.009615382	0.013764368	0.015876835	0.025464805	0.057543187	0.040021607	0.000455622
r46	0.016086584	0.013101408	0.03084201	0.013121259	0.008392547	0.006199262	0.006920866	-0.003490381	0.024755298	0.006111552
r47	-0.0305892	0.017701126	-0.008895415	0.027159506	0.015072083	0.020437968	0.001363315	0.000498921	0.008383016	0.03822965
r48	-0.010240411	0.041916123	-0.040949254	0.026624724	0.03247631	0.00587371	0.02827103	0.010332657	-0.105333403	0.008801482
r49	0.074469855	0.01928716	0.072533708	0.02217937	0.007498254	0.043678178	0.055487029	0.036572572	0.07952496	0.004500969
r50	-0.021685016	0.018398762	-0.034532559	0.025717058	-0.047711644	-0.028535968	-0.05730553	-0.018125817	-0.019060951	-0.019697569
r51	0.011360184	0.013098246	0.061008865	0.016307459	0.01182251	-0.006899935	-0.005088546	-0.029038456	0.081710547	0.016987188
r52	0.022422811	0.037061173	-0.04398828	0.028253115	-0.007820011	0.023455221	-0.000577896	0.001466198	-0.062466548	-0.013750568
r53	0.042199138	-0.033473893	0.12520611	-0.024862789	0.015940906	-0.036920154	-0.009615305	-0.042358977	0.174726674	-0.046564175
r54	-0.047558108	-0.026315806	-0.036729642	-0.092857855	-0.060829546	-0.05897139	-0.053931224	-0.060672624	-0.027402819	-0.028030666
r55	0.009968013	-0.002408495	0.061083089	-0.001217689	-0.018691654	0.004131236	-0.067649385	0.017445641	0.029257015	-0.012620211
r56	0.010974912	-0.004077597	0.027927553	0.006639395	-0.01921933	-0.005251082	0.001010705	-0.006665124	0.040744818	-0.017195114
r57	0.000161388	0.007734979	-0.030076573	0.033790896	-0.010532505	-0.01859737	-0.027329898	0.006709846	0.020796003	-0.046242803
r58	0.070502731	0.080720995	0.039619311	0.052222314	0.040170374	0.009500119	0.016386855	0.008117335	0.053971353	0.017786297
r59	0.007661652	0.026273469	0.022032598	0.029983891	-0.00604952	-0.00651678	-0.032108344	0.004757558	0.003073192	0.006333529
r60	0.0134109	0.036975268	0.105066793	0.039248448	0.022895957	0.049033391	0.014720392	0.009837571	0.143243276	0.03270291
r61	-0.019550154	-0.043350997	-0.02999994	-0.038316465	0.010315813	0.019711495	0.057273237	-0.01242658	0.000811469	-0.003824335
r62	-0.004992363	0.005078838	0.00988398	0.014269171	-0.033534779	-0.030980607	-0.024197635	-0.031721759	0.017056461	-0.036309102
r63	0.062168666	-0.013189093	-0.056940207	-0.008853631	0.003334346	-0.002323934	-0.003329942	-0.019309119	-0.01756763	0.02633802
r64	0.006811485	-0.016091515	0.008789849	0.00115113	-0.011387518	-0.012393938	-0.020363811	-0.008508866	-0.018827941	-0.010397966
r65	0.01093039	0.02273	0.029269218	0.003813296	-0.002136639	0.015818731	0.004162781	-0.015909542	-0.038745777	-0.006199988
r66	0.027526244	0.01053195	-0.030388424	0.050974863	-0.002065569	0.000458905	-0.022030639	0.021818213	0.022413286	0.032691106
r67	0.071298852	-0.02314821	0.009343916	-0.017570674	0.003850708	0.008792094	0.034072828	0.018296624	0.027309318	0.002264073
r68	0.003038903	-0.070745706	0.04168434	-0.055850401	0.017173952	0.010521402	0.094417356	-0.025472266	0.012744039	-0.00702538
r69	0.029835234	0.003116868	-0.043126139	-0.011046688	0.005757505	0.019304077	0.024544645	0.033567369	-0.008335603	-0.007114976
r70	0.018054383	-0.007849753	0.042863115	0.000328206	-0.001512894	-0.021226842	-0.015741149	-0.000438645	0.111476343	-0.018485515
r71	0.00202182	0.012524012	0.009808124	0.026044054	0.032812617	0.017323188	0.015880072	-0.005235542	0.072779787	0.008701629
r72	0.048889496	0.108974426	0.128760435	0.131461946	0.079621928	0.121938194	0.116829983	0.045143557	0.118322037	0.108559268
r73	0.038844965	0.060022573	0.035901362	0.054937657	0.068108235	0.061016956	0.062878986	0.038352332	-0.007826572	0.064027286
r74	-0.005878804	-0.007865146	0.032698208	0.006473391	-0.018394135	-0.022639446	-0.015316704	0.017227196	0.048098479	-0.030178532
r75	-0.024842776	0.062052545	0.024802123	0.034025985	-0.031185635	-0.02712867	-0.046298638	-0.059325658	-0.011426392	-0.010784601
r76	-0.008139138	0.000596956	-0.035132392	-0.009393652	0.004474951	-0.011417943	0.004101933	-0.018056781	0.010052058	0.014750229
r77	0.063141017	0.016365825	-0.014798128	0.016713485	0.011490228	0.024483154	0.032866863	0.015277161	0.043917702	0.023206806
r78	-0.00174428	-0.026651175	-0.018705358	-0.017931002	0.001196987	-0.029566991	-0.011548192	0.02049	-0.019062149	-0.026694071
r79	-0.0040532	-0.009469101	-0.0478088	0.019308339	0.009027667	0.011752035	0.037251496	0.026285663	-0.099244628	0.018664435
